"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 24","97,919.0","97,538.0","98,381.0","97,479.0","1.73K","0.39%"
"2024- 11- 23","97,538.0","98,683.0","98,745.0","97,137.0","2.00K","-1.16%"
"2024- 11- 22","98,683.0","98,348.0","99,327.0","97,010.0","2.40K","0.34%"
"2024- 11- 21","98,348.0","94,243.0","98,700.0","93,996.0","2.83K","4.36%"
"2024- 11- 20","94,243.0","92,172.0","94,652.0","91,404.0","1.49K","2.25%"
"2024- 11- 19","92,172.0","90,535.0","93,751.0","90,430.0","2.04K","1.81%"
"2024- 11- 18","90,535.0","89,843.0","92,533.0","89,500.0","1.64K","0.77%"
"2024- 11- 17","89,843.0","90,538.0","91,423.0","88,758.0","0.89K","-0.77%"
"2024- 11- 16","90,538.0","91,015.0","91,743.0","90,088.0","0.75K","-0.52%"
"2024- 11- 15","91,015.0","87,305.0","91,854.0","87,120.0","1.20K","4.25%"
"2024- 11- 14","87,305.0","90,453.0","91,776.0","86,693.0","1.59K","-3.48%"
"2024- 11- 13","90,453.0","88,007.0","93,286.0","86,152.0","2.72K","2.78%"
"2024- 11- 12","88,007.0","88,566.0","89,933.0","85,128.0","2.92K","-0.63%"
"2024- 11- 11","88,566.0","80,367.0","89,528.0","80,244.0","3.62K","10.20%"
"2024- 11- 10","80,367.0","76,703.0","81,428.0","76,531.0","4.08K","4.78%"
"2024- 11- 09","76,703.0","76,496.0","76,888.0","75,746.0","0.31K","0.27%"
"2024- 11- 08","76,496.0","75,864.0","77,049.0","75,611.0","0.80K","0.83%"
"2024- 11- 07","75,864.0","75,580.0","76,655.0","74,397.0","1.43K","0.38%"
"2024- 11- 06","75,580.0","69,450.0","76,179.0","69,401.0","4.90K","8.83%"
"2024- 11- 05","69,450.0","67,858.0","70,598.0","67,541.0","0.78K","2.35%"
"2024- 11- 04","67,858.0","68,807.0","69,505.0","66,881.0","0.63K","-1.38%"
"2024- 11- 03","68,807.0","69,292.0","69,405.0","67,532.0","1.04K","-0.70%"
"2024- 11- 02","69,292.0","69,590.0","69,939.0","69,028.0","0.37K","-0.43%"
"2024- 11- 01","69,590.0","70,299.0","71,637.0","68,889.0","0.92K","-1.01%"
"2024- 10- 31","70,299.0","72,455.0","72,664.0","69,674.0","0.40K","-2.98%"
"2024- 10- 30","72,455.0","72,688.0","73,014.0","71,510.0","0.44K","-0.32%"
"2024- 10- 29","72,688.0","69,989.0","73,525.0","69,812.0","2.65K","3.86%"
"2024- 10- 28","69,989.0","68,035.0","70,287.0","67,660.0","0.73K","2.87%"
"2024- 10- 27","68,035.0","67,081.0","68,328.0","66,926.0","0.22K","1.42%"
"2024- 10- 26","67,081.0","66,734.0","67,445.0","66,456.0","0.13K","0.52%"
"2024- 10- 25","66,734.0","68,188.0","68,750.0","65,629.0","0.52K","-2.13%"
"2024- 10- 24","68,188.0","66,695.0","68,846.0","66,527.0","0.45K","2.24%"
"2024- 10- 23","66,695.0","67,405.0","67,436.0","65,265.0","0.45K","-1.05%"
"2024- 10- 22","67,405.0","67,425.0","67,824.0","66,648.0","0.40K","-0.03%"
"2024- 10- 21","67,425.0","69,045.0","69,554.0","66,942.0","0.58K","-2.35%"
"2024- 10- 20","69,045.0","68,360.0","69,375.0","68,116.0","0.31K","1.00%"
"2024- 10- 19","68,360.0","68,368.0","68,641.0","68,035.0","0.18K","-0.01%"
"2024- 10- 18","68,368.0","67,453.0","68,886.0","67,240.0","0.90K","1.36%"
"2024- 10- 17","67,453.0","67,657.0","67,962.0","66,724.0","0.38K","-0.30%"
"2024- 10- 16","67,657.0","67,123.0","68,367.0","66,861.0","1.16K","0.80%"
"2024- 10- 15","67,123.0","66,179.0","67,806.0","64,857.0","1.40K","1.43%"
"2024- 10- 14","66,179.0","62,986.0","66,555.0","62,601.0","0.81K","5.07%"
"2024- 10- 13","62,986.0","63,335.0","63,406.0","62,204.0","0.59K","-0.55%"
