timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change
2024-11-24,"136,396,992","136,142,000","136,934,000","135,860,000",0.75K,0.22%,136396992.0,136142000.0,136934000.0,135860000.0,750.0,0.22
2024-11-23,"136,100,000","137,023,008","137,023,008","134,500,000",0.46K,-0.71%,136100000.0,137023008.0,137023008.0,134500000.0,460.0,-0.71
2024-11-22,"137,070,000","137,308,992","138,870,000","133,672,000",0.46K,-0.22%,137070000.0,137308992.0,138870000.0,133672000.0,460.0,-0.22
2024-11-21,"137,372,992","133,200,000","138,600,000","133,200,000",0.74K,3.18%,137372992.0,133200000.0,138600000.0,133200000.0,740.0,3.18
2024-11-20,"133,138,000","129,786,000","133,293,000","128,647,000",0.65K,2.61%,133138000.0,129786000.0,133293000.0,128647000.0,650.0,2.61
2024-11-19,"129,747,000","127,235,000","130,953,000","127,201,000",0.67K,1.98%,129747000.0,127235000.0,130953000.0,127201000.0,670.0,1.98
2024-11-18,"127,228,000","126,358,000","128,953,000","126,132,000",0.59K,0.65%,127228000.0,126358000.0,128953000.0,126132000.0,590.0,0.65
2024-11-17,"126,411,000","127,184,000","127,986,000","125,416,000",0.43K,-0.54%,126411000.0,127184000.0,127986000.0,125416000.0,430.0,-0.54
2024-11-16,"127,095,000","128,200,000","129,078,000","126,054,000",1.14K,-0.89%,127095000.0,128200000.0,129078000.0,126054000.0,1140.0,-0.89
2024-11-15,"128,235,000","124,001,000","129,056,000","123,683,000",2.21K,3.84%,128235000.0,124001000.0,129056000.0,123683000.0,2210.0,3.84
2024-11-14,"123,493,000","128,214,000","130,490,000","121,892,000",3.66K,-3.66%,123493000.0,128214000.0,130490000.0,121892000.0,3660.0,-3.66
2024-11-13,"128,190,000","125,106,000","130,999,000","122,885,000",5.32K,2.52%,128190000.0,125106000.0,130999000.0,122885000.0,5320.0,2.52
2024-11-12,"125,041,000","124,639,000","127,850,000","120,036,000",2.72K,0.55%,125041000.0,124639000.0,127850000.0,120036000.0,2720.0,0.55
2024-11-11,"124,358,000","111,470,000","125,020,000","111,423,000",5.32K,11.55%,124358000.0,111470000.0,125020000.0,111423000.0,5320.0,11.55
2024-11-10,"111,484,000","106,358,000","112,219,000","106,200,000",2.48K,4.81%,111484000.0,106358000.0,112219000.0,106200000.0,2480.0,4.81
2024-11-09,"106,366,000","106,802,000","106,924,000","105,840,000",0.73K,-0.42%,106366000.0,106802000.0,106924000.0,105840000.0,730.0,-0.42
2024-11-08,"106,814,000","104,300,000","107,504,000","104,271,000",1.62K,2.44%,106814000.0,104300000.0,107504000.0,104271000.0,1620.0,2.44
2024-11-07,"104,266,000","104,331,000","105,077,000","102,505,000",1.73K,0.08%,104266000.0,104331000.0,105077000.0,102505000.0,1730.0,0.08
2024-11-06,"104,182,000","96,257,000","104,500,000","96,250,000",2.08K,8.20%,104182000.0,96257000.0,104500000.0,96250000.0,2080.0,8.2
2024-11-05,"96,285,000","94,216,000","97,883,000","94,023,000",2.03K,2.12%,96285000.0,94216000.0,97883000.0,94023000.0,2029.9999999999998,2.12
2024-11-04,"94,286,000","95,871,000","96,740,000","93,165,000",1.52K,-1.73%,94286000.0,95871000.0,96740000.0,93165000.0,1520.0,-1.73
2024-11-03,"95,943,000","97,252,000","97,260,000","94,096,000",1.24K,-1.30%,95943000.0,97252000.0,97260000.0,94096000.0,1240.0,-1.3
2024-11-02,"97,203,000","97,221,000","97,883,000","96,857,000",0.44K,-0.09%,97203000.0,97221000.0,97883000.0,96857000.0,440.0,-0.09
2024-11-01,"97,289,000","98,097,000","99,680,000","95,638,000",1.62K,-0.83%,97289000.0,98097000.0,99680000.0,95638000.0,1620.0,-0.83
2024-10-31,"98,106,000","100,614,000","100,886,000","97,380,000",1.38K,-2.50%,98106000.0,100614000.0,100886000.0,97380000.0,1380.0,-2.5
2024-10-30,"100,623,000","101,350,000","101,366,000","99,169,000",0.84K,-0.72%,100623000.0,101350000.0,101366000.0,99169000.0,840.0,-0.72
2024-10-29,"101,354,000","97,396,000","102,096,000","97,230,000",2.04K,4.01%,101354000.0,97396000.0,102096000.0,97230000.0,2040.0,4.01
2024-10-28,"97,444,000","94,900,000","97,629,000","94,471,000",1.21K,2.76%,97444000.0,94900000.0,97629000.0,94471000.0,1210.0,2.76
2024-10-27,"94,825,000","93,952,000","95,154,000","93,884,000",0.55K,0.92%,94825000.0,93952000.0,95154000.0,93884000.0,550.0,0.92
2024-10-26,"93,965,000","93,812,000","94,292,000","93,302,000",0.31K,0.16%,93965000.0,93812000.0,94292000.0,93302000.0,310.0,0.16
2024-10-25,"93,819,000","94,133,000","95,126,000","92,536,000",1.93K,-0.27%,93819000.0,94133000.0,95126000.0,92536000.0,1930.0,-0.27
2024-10-24,"94,070,000","92,345,000","94,619,000","92,080,000",0.90K,1.84%,94070000.0,92345000.0,94619000.0,92080000.0,900.0,1.84
2024-10-23,"92,372,000","92,858,000","92,907,000","90,805,000",1.08K,-0.58%,92372000.0,92858000.0,92907000.0,90805000.0,1080.0,-0.58
2024-10-22,"92,907,000","92,211,000","93,333,000","91,226,000",0.64K,0.71%,92907000.0,92211000.0,93333000.0,91226000.0,640.0,0.71
2024-10-21,"92,254,000","93,962,000","94,482,000","91,477,000",0.83K,-1.84%,92254000.0,93962000.0,94482000.0,91477000.0,830.0,-1.84
2024-10-20,"93,988,000","93,356,000","94,333,000","93,047,000",0.86K,0.70%,93988000.0,93356000.0,94333000.0,93047000.0,860.0,0.7
2024-10-19,"93,332,000","93,325,000","93,467,000","92,838,000",0.55K,0.02%,93332000.0,93325000.0,93467000.0,92838000.0,550.0,0.02
2024-10-18,"93,316,000","91,763,000","93,672,000","91,488,000",1.07K,1.74%,93316000.0,91763000.0,93672000.0,91488000.0,1070.0,1.74
2024-10-17,"91,718,000","91,652,000","92,000,000","91,107,000",0.98K,0.06%,91718000.0,91652000.0,92000000.0,91107000.0,980.0,0.06
2024-10-16,"91,665,000","90,656,000","92,365,000","90,248,000",0.95K,1.18%,91665000.0,90656000.0,92365000.0,90248000.0,950.0,1.18
2024-10-15,"90,599,000","88,755,000","91,360,000","87,623,000",1.96K,2.12%,90599000.0,88755000.0,91360000.0,87623000.0,1960.0,2.12
2024-10-14,"88,714,000","84,844,000","89,013,000","84,393,000",1.22K,4.53%,88714000.0,84844000.0,89013000.0,84393000.0,1220.0,4.53
2024-10-13,"84,867,000","85,090,000","85,255,000","83,907,000",0.30K,-0.24%,84867000.0,85090000.0,85255000.0,83907000.0,300.0,-0.24
2024-10-12,"85,072,000","84,497,000","85,266,000","84,417,000",0.54K,0.84%,85072000.0,84497000.0,85266000.0,84417000.0,540.0,0.84
2024-10-11,"84,364,000","82,070,000","85,513,000","81,706,000",1.28K,2.81%,84364000.0,82070000.0,85513000.0,81706000.0,1280.0,2.81
2024-10-10,"82,055,000","82,330,000","83,062,000","80,643,000",1.37K,-0.39%,82055000.0,82330000.0,83062000.0,80643000.0,1370.0,-0.39
2024-10-09,"82,373,000","84,113,000","84,511,000","82,172,000",1.04K,-2.07%,82373000.0,84113000.0,84511000.0,82172000.0,1040.0,-2.07
2024-10-08,"84,116,000","83,940,000","85,313,000","83,852,000",0.81K,0.20%,84116000.0,83940000.0,85313000.0,83852000.0,810.0,0.2
2024-10-07,"83,946,000","84,522,000","86,294,000","83,875,000",1.03K,-0.68%,83946000.0,84522000.0,86294000.0,83875000.0,1030.0,-0.68
2024-10-06,"84,523,000","83,965,000","84,740,000","83,605,000",0.59K,0.66%,84523000.0,83965000.0,84740000.0,83605000.0,590.0,0.66
2024-10-05,"83,965,000","83,891,000","84,200,000","83,489,000",0.33K,0.09%,83965000.0,83891000.0,84200000.0,83489000.0,330.0,0.09
2024-10-04,"83,886,000","82,361,000","84,293,000","82,028,000",0.71K,1.86%,83886000.0,82361000.0,84293000.0,82028000.0,710.0,1.86
2024-10-03,"82,358,000","81,708,000","82,739,000","81,245,000",0.89K,0.79%,82358000.0,81708000.0,82739000.0,81245000.0,890.0,0.79
2024-10-02,"81,709,000","81,390,000","83,371,000","80,901,000",1.11K,0.30%,81709000.0,81390000.0,83371000.0,80901000.0,1110.0,0.3
2024-10-01,"81,468,000","83,658,000","84,826,000","80,766,000",2.65K,-2.67%,81468000.0,83658000.0,84826000.0,80766000.0,2650.0,-2.67
2024-09-30,"83,700,000","85,972,000","85,972,000","83,010,000",0.79K,-2.64%,83700000.0,85972000.0,85972000.0,83010000.0,790.0,-2.64
2024-09-29,"85,972,000","86,718,000","86,824,000","85,898,000",0.19K,-0.86%,85972000.0,86718000.0,86824000.0,85898000.0,190.0,-0.86
2024-09-28,"86,721,000","86,940,000","87,300,000","86,090,000",0.09K,-0.25%,86721000.0,86940000.0,87300000.0,86090000.0,90.0,-0.25
2024-09-27,"86,940,000","86,070,000","87,398,000","85,928,000",0.19K,1.00%,86940000.0,86070000.0,87398000.0,85928000.0,190.0,1.0
2024-09-26,"86,077,000","84,367,000","86,600,000","83,821,000",0.30K,2.03%,86077000.0,84367000.0,86600000.0,83821000.0,300.0,2.03
2024-09-25,"84,368,000","85,290,000","85,900,000","84,200,000",0.20K,-1.08%,84368000.0,85290000.0,85900000.0,84200000.0,200.0,-1.08
2024-09-24,"85,290,000","84,677,000","85,799,000","84,010,000",0.28K,0.72%,85290000.0,84677000.0,85799000.0,84010000.0,280.0,0.72
