Date,Exchange Rate
2011/01/01,1138.9
2011/01/02,1138.9
2011/01/03,1138.9
2011/01/04,1127.5
2011/01/05,1122.3
2011/01/06,1125.0
2011/01/07,1123.1
2011/01/08,
2011/01/09,
2011/01/10,1122.1
2011/01/11,1120.6
2011/01/12,1126.2
2011/01/13,1120.0
2011/01/14,1112.2
2011/01/15,
2011/01/16,
2011/01/17,1114.7
2011/01/18,1114.7
2011/01/19,1116.8
2011/01/20,1112.5
2011/01/21,1118.2
2011/01/22,
2011/01/23,
2011/01/24,1122.0
2011/01/25,1120.3
2011/01/26,1117.6
2011/01/27,1118.2
2011/01/28,1114.3
2011/01/29,
2011/01/30,
2011/01/31,1114.3
2011/02/01,1122.7
2011/02/02,
2011/02/03,
2011/02/04,
2011/02/05,
2011/02/06,
2011/02/07,1116.7
2011/02/08,1107.0
2011/02/09,1104.4
2011/02/10,1104.8
2011/02/11,1112.9
2011/02/12,
2011/02/13,
2011/02/14,1120.7
2011/02/15,1123.9
2011/02/16,1122.5
2011/02/17,1120.7
2011/02/18,1116.2
2011/02/19,
2011/02/20,
2011/02/21,1113.0
2011/02/22,1116.4
2011/02/23,1125.9
2011/02/24,1125.8
2011/02/25,1126.9
2011/02/26,
2011/02/27,
2011/02/28,1127.9
2011/03/01,
2011/03/02,1128.8
2011/03/03,1128.4
2011/03/04,1122.6
2011/03/05,
2011/03/06,
2011/03/07,1116.2
2011/03/08,1117.9
2011/03/09,1117.4
2011/03/10,1115.2
2011/03/11,1118.4
2011/03/12,
2011/03/13,
2011/03/14,1124.5
2011/03/15,1129.8
2011/03/16,1131.3
2011/03/17,1132.8
2011/03/18,1137.6
2011/03/19,
2011/03/20,
2011/03/21,1128.3
2011/03/22,1125.9
2011/03/23,1121.7
2011/03/24,1123.7
2011/03/25,1122.8
2011/03/26,
2011/03/27,
2011/03/28,1114.5
2011/03/29,1114.2
2011/03/30,1114.6
2011/03/31,1107.2
2011/04/01,1100.1
2011/04/02,
2011/04/03,
2011/04/04,1094.6
2011/04/05,1086.9
2011/04/06,1089.7
2011/04/07,1085.5
2011/04/08,1088.0
2011/04/09,
2011/04/10,
2011/04/11,1085.4
2011/04/12,1084.4
2011/04/13,1091.7
2011/04/14,1092.5
2011/04/15,1089.4
2011/04/16,
2011/04/17,
2011/04/18,1087.9
2011/04/19,1089.9
2011/04/20,1092.8
2011/04/21,1083.7
2011/04/22,1080.1
2011/04/23,
2011/04/24,
2011/04/25,1081.8
2011/04/26,1081.5
2011/04/27,1085.5
2011/04/28,1079.9
2011/04/29,1072.3
2011/04/30,
2011/05/01,
2011/05/02,1073.3
2011/05/03,1066.8
2011/05/04,1070.2
2011/05/05,
2011/05/06,1074.6
2011/05/07,
2011/05/08,
2011/05/09,1085.0
2011/05/10,
2011/05/11,1079.9
2011/05/12,1074.9
2011/05/13,1082.7
2011/05/14,
2011/05/15,
2011/05/16,1088.9
2011/05/17,1092.8
2011/05/18,1091.4
2011/05/19,1086.7
2011/05/20,1084.7
2011/05/21,
2011/05/22,
2011/05/23,1082.7
2011/05/24,1091.7
2011/05/25,1094.8
2011/05/26,1096.3
2011/05/27,1090.5
2011/05/28,
2011/05/29,
2011/05/30,1082.2
2011/05/31,1080.6
2011/06/01,1076.9
2011/06/02,1076.4
2011/06/03,1080.4
2011/06/04,
2011/06/05,
2011/06/06,
2011/06/07,1077.5
2011/06/08,1080.6
2011/06/09,1081.5
2011/06/10,1083.1
2011/06/11,
2011/06/12,
2011/06/13,1081.2
2011/06/14,1085.9
2011/06/15,1083.5
2011/06/16,1082.5
2011/06/17,1088.9
2011/06/18,
2011/06/19,
2011/06/20,1087.2
2011/06/21,1083.2
2011/06/22,1081.7
2011/06/23,1075.0
2011/06/24,1076.7
2011/06/25,
2011/06/26,
2011/06/27,1077.9
2011/06/28,1086.7
2011/06/29,1081.8
2011/06/30,1078.1
2011/07/01,1070.1
2011/07/02,
2011/07/03,
2011/07/04,1066.4
2011/07/05,1063.8
2011/07/06,1065.6
2011/07/07,1064.9
2011/07/08,1064.3
2011/07/09,
2011/07/10,
2011/07/11,1058.4
2011/07/12,1059.7
2011/07/13,1066.2
2011/07/14,1063.2
