timestamp,비트코인,업비트,bitcoin,coinbase
2017-05-23,42,0,70,6
2017-05-24,59,0,79,8
2017-05-25,100,0,100,10
2017-05-26,66,0,75,6
2017-05-27,54,0,67,5
2017-05-28,40,0,51,4
2017-05-29,43,0,51,3
2017-05-30,36,0,50,4
2017-05-31,44,0,49,4
2017-06-01,69,0,76,7
2017-06-02,53,0,69,6
2017-06-03,51,0,63,6
2017-06-04,46,0,62,6
2017-06-05,56,0,71,7
2017-06-06,53,0,98,10
2017-06-07,48,0,83,8
2017-06-08,47,0,76,7
2017-06-09,47,0,74,6
2017-06-10,52,0,68,8
2017-06-11,57,0,69,9
2017-06-12,91,0,89,16
2017-06-13,70,0,82,11
2017-06-14,83,0,79,9
2017-06-15,100,0,100,11
2017-06-16,74,0,81,8
2017-06-17,66,0,67,7
2017-06-18,54,0,62,6
2017-06-19,64,0,65,7
2017-06-20,92,0,67,8
2017-06-21,71,0,71,10
2017-06-22,61,0,70,8
2017-06-23,59,0,62,7
2017-06-24,47,0,64,5
2017-06-25,61,0,61,7
2017-06-26,82,0,74,9
2017-06-27,94,0,85,7
2017-06-28,61,0,80,7
2017-06-29,48,0,65,6
2017-06-30,42,0,59,5
2017-07-01,59,0,68,5
2017-07-02,55,0,71,5
2017-07-03,81,0,73,6
2017-07-04,70,0,73,6
2017-07-05,61,0,75,6
2017-07-06,70,0,74,5
2017-07-07,72,0,70,6
2017-07-08,58,0,70,5
2017-07-09,54,0,69,5
2017-07-10,41,0,76,6
2017-07-11,76,0,89,7
2017-07-12,66,0,84,7
2017-07-13,56,0,79,6
2017-07-14,78,0,78,6
2017-07-15,87,0,88,5
2017-07-16,100,0,100,6
2017-07-17,100,0,94,7
2017-07-18,83,0,93,8
2017-07-19,79,0,85,7
2017-07-20,90,0,99,7
2017-07-21,68,0,96,7
2017-07-22,52,0,83,5
2017-07-23,48,0,83,5
2017-07-24,52,0,82,6
2017-07-25,62,0,82,6
2017-07-26,62,0,87,6
2017-07-27,63,0,84,6
2017-07-28,56,0,93,8
2017-07-29,47,0,78,6
2017-07-30,53,0,78,6
2017-07-31,64,0,98,6
2017-08-01,69,0,100,5
2017-08-02,77,0,90,4
2017-08-03,50,0,60,4
2017-08-04,56,0,55,4
2017-08-05,64,0,70,4
2017-08-06,51,0,60,3
2017-08-07,65,0,65,4
2017-08-08,68,0,74,5
2017-08-09,61,0,62,5
2017-08-10,47,0,58,5
2017-08-11,60,0,64,5
2017-08-12,57,0,73,5
2017-08-13,82,0,91,5
2017-08-14,69,0,98,7
2017-08-15,78,0,99,6
2017-08-16,80,0,88,5
2017-08-17,73,0,83,5
2017-08-18,86,0,85,5
2017-08-19,86,0,78,4
2017-08-20,68,0,70,4
2017-08-21,98,0,76,5
2017-08-22,82,0,77,5
2017-08-23,100,0,73,5
2017-08-24,88,0,70,5
2017-08-25,73,0,73,5
2017-08-26,54,0,64,4
2017-08-27,55,0,60,4
2017-08-28,71,0,63,5
2017-08-29,77,0,80,6
2017-08-30,75,0,76,6
2017-08-31,89,0,84,7
2017-09-01,62,0,67,7
2017-09-02,68,0,60,5
2017-09-03,58,0,55,4
2017-09-04,69,0,67,5
2017-09-05,63,0,69,4
2017-09-06,61,0,57,4
2017-09-07,69,0,55,4
2017-09-08,65,0,56,4
2017-09-09,46,0,48,3
2017-09-10,63,0,47,3
2017-09-11,52,0,53,3
2017-09-12,52,0,55,3
2017-09-13,67,0,73,3
2017-09-14,85,0,87,4
2017-09-15,100,0,100,5
2017-09-16,59,0,66,3
2017-09-17,44,0,50,2
2017-09-18,66,0,61,3
2017-09-19,67,0,59,3
2017-09-20,69,0,50,3
2017-09-21,49,0,51,3
2017-09-22,50,0,46,3
2017-09-23,47,0,38,2
2017-09-24,42,0,35,2
2017-09-25,44,12,42,3
2017-09-26,39,8,43,2
2017-09-27,53,0,43,3
2017-09-28,53,0,44,3
2017-09-29,34,0,43,2
2017-09-30,43,0,39,2
2017-10-01,34,0,42,2
2017-10-02,40,0,45,3
2017-10-03,43,0,44,3
2017-10-04,49,0,41,2
2017-10-05,37,0,40,2
2017-10-06,40,0,41,2
2017-10-07,43,0,36,2
2017-10-08,48,0,39,2
